Time,open,high,low,close,volume,money,high_limit,low_limit,avg,paused,factor,pre_close
2019-11-15,3769.0,3769.0,3769.0,3769.0,0.0,0.0,4070.0,3468.0,3769.0,0.0,1.0,3769.0
2019-11-18,3769.0,3769.0,3769.0,3769.0,0.0,0.0,4070.0,3468.0,3769.0,0.0,1.0,3769.0
2019-11-19,3769.0,3769.0,3769.0,3769.0,0.0,0.0,4070.0,3468.0,3769.0,0.0,1.0,3769.0
2019-11-20,3769.0,3769.0,3769.0,3769.0,0.0,0.0,4070.0,3468.0,3769.0,0.0,1.0,3769.0
2019-11-21,3695.0,3748.0,3695.0,3748.0,4.0,148900.0,4070.0,3468.0,3721.5,0.0,1.0,3769.0
2019-11-22,3787.0,3787.0,3787.0,3787.0,2.0,75700.0,3869.0,3573.0,3787.0,0.0,1.0,3721.0
2019-11-25,3787.0,3787.0,3787.0,3780.0,0.0,0.0,3938.0,3636.0,3780.0,0.0,1.0,3787.0
2019-11-26,3780.0,3780.0,3780.0,3780.0,0.0,0.0,3931.0,3629.0,3780.0,0.0,1.0,3780.0
2019-11-27,3780.0,3780.0,3780.0,3780.0,0.0,0.0,3931.0,3629.0,3780.0,0.0,1.0,3780.0
2019-11-28,3780.0,3780.0,3780.0,3780.0,0.0,0.0,3931.0,3629.0,3780.0,0.0,1.0,3780.0
2019-11-29,3780.0,3780.0,3780.0,3782.0,0.0,0.0,3931.0,3629.0,3782.0,0.0,1.0,3780.0
2019-12-02,3782.0,3782.0,3782.0,3782.0,0.0,0.0,3933.0,3631.0,3782.0,0.0,1.0,3782.0
2019-12-03,3850.0,3850.0,3850.0,3850.0,6.0,231000.0,3933.0,3631.0,3850.0,0.0,1.0,3782.0
2019-12-04,3850.0,3856.0,3832.0,3847.0,30.0,1153400.0,4004.0,3696.0,3844.7334,0.0,1.0,3850.0
2019-12-05,3838.0,3838.0,3834.0,3834.0,10.0,383700.0,3997.0,3691.0,3837.0,0.0,1.0,3844.0
2019-12-06,3814.0,3839.0,3813.0,3820.0,10.0,382000.0,3990.0,3684.0,3819.8,0.0,1.0,3837.0
2019-12-09,3821.0,3821.0,3788.0,3801.0,52.0,1976100.0,3971.0,3667.0,3800.2692,0.0,1.0,3819.0
2019-12-10,3800.0,3843.0,3793.0,3821.0,140.0,5348800.0,3952.0,3648.0,3820.5857,0.0,1.0,3800.0
2019-12-11,3788.0,3825.0,3788.0,3814.0,38.0,1443100.0,3972.0,3668.0,3797.6316,0.0,1.0,3820.0
2019-12-12,3826.0,3826.0,3805.0,3808.0,18.0,686900.0,3948.0,3646.0,3816.1111,0.0,1.0,3797.0
2019-12-13,3820.0,3832.0,3800.0,3815.0,24.0,917200.0,3968.0,3664.0,3821.6666,0.0,1.0,3816.0
2019-12-16,3805.0,3805.0,3791.0,3791.0,8.0,303700.0,3973.0,3669.0,3796.5,0.0,1.0,3821.0
2019-12-17,3814.0,3814.0,3803.0,3814.0,12.0,457400.0,3947.0,3645.0,3811.5,0.0,1.0,3796.0
2019-12-18,3806.0,3806.0,3801.0,3806.0,8.0,304400.0,3963.0,3659.0,3804.5,0.0,1.0,3811.0
2019-12-19,3788.0,3788.0,3788.0,3788.0,2.0,75800.0,3956.0,3652.0,3788.0,0.0,1.0,3804.0
2019-12-20,3774.0,3788.0,3773.0,3788.0,12.0,453700.0,3939.0,3637.0,3780.6667,0.0,1.0,3788.0
2019-12-23,3801.0,3810.0,3801.0,3810.0,12.0,456800.0,3931.0,3629.0,3806.3333,0.0,1.0,3780.0
2019-12-24,3790.0,3790.0,3758.0,3758.0,12.0,452700.0,3958.0,3654.0,3772.3333,0.0,1.0,3806.0
2019-12-25,3771.0,3771.0,3771.0,3771.0,2.0,75400.0,3922.0,3622.0,3771.0,0.0,1.0,3772.0
2019-12-26,3771.0,3771.0,3771.0,3771.0,0.0,0.0,3921.0,3621.0,3771.0,0.0,1.0,3771.0
2019-12-27,3771.0,3771.0,3771.0,3771.0,0.0,0.0,3921.0,3621.0,3771.0,0.0,1.0,3771.0
2019-12-30,3781.0,3791.0,3773.0,3791.0,10.0,378200.0,3921.0,3621.0,3781.8,0.0,1.0,3771.0
2019-12-31,3788.0,3800.0,3781.0,3787.0,24.0,910900.0,3932.0,3630.0,3795.4166,0.0,1.0,3781.0
2020-01-02,3787.0,3787.0,3787.0,3795.0,0.0,0.0,3946.0,3644.0,3795.0,0.0,1.0,3795.0
2020-01-03,3799.0,3800.0,3799.0,3799.0,11.0,418000.0,3946.0,3644.0,3799.5454,0.0,1.0,3795.0
